beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,namenszusatz,titel,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
Staatssekretärin / Dipl.-Chemikerin,WAHLKREIS,42,1967,w,1,Fahimi,0,0,Yasmin,N,E,Stadt Hannover II,3.0,,SPD
MdB,WAHLKREIS,263,1963,m,2,Färber,0,0,Hermann,J,E,Göppingen,8.0,,CDU/CSU
MdB,LAND,8,1972,m,1,Fechner,0,Dr.,Johannes,J,Z,0,8.0,,SPD
Dipl.-Finanzwirt,WAHLKREIS,58,1965,m,2,Feiler,0,0,Uwe Wolfgang Werner,J,E,Oberhavel – Havelland II,12.0,,CDU/CSU
MdB / klassischer Philologe / Lehrer,WAHLKREIS,82,1968,m,1,Felgentreu,0,Dr.,Fritz,J,E,Berlin-Neukölln,11.0,,SPD
Unternehmer,LAND,9,1969,m,35,Felser,0,0,Peter,N,Z,0,9.0,,AfD
parl. Staatssekretär,WAHLKREIS,29,1963,m,2,Ferlemann,0,0,Enak,J,E,Cuxhaven – Stade II,3.0,,CDU/CSU
Betriebsratsvorsitzende,LAND,9,1973,w,34,Ferschl,0,0,Susanne,N,Z,0,9.0,,Die Linke
MdB,WAHLKREIS,272,1966,m,2,Fischer,0,0,Axel,J,E,Karlsruhe-Land,8.0,,CDU/CSU
MdB / Tierärztin,LAND,3,1963,w,2,Flachsbarth,0,Dr.,Maria Franziska,J,Z,0,3.0,,CDU/CSU
selbständig,LAND,9,1976,m,4,Föst,0,0,Daniel,N,Z,0,9.0,,FDP
MdB,WAHLKREIS,170,1960,m,1,Franke,0,Dr.,Edgar Konrad Hartmut,J,E,Schwalm-Eder,6.0,,SPD
MdB,LAND,12,1951,m,1,Freese,0,0,Ulrich Ronald,J,Z,0,12.0,,SPD
MdB,WAHLKREIS,286,1973,m,2,Frei,0,0,Thorsten,J,E,Schwarzwald-Baar,8.0,,CDU/CSU
Lehrerin,LAND,7,1955,w,34,Freihold,0,0,Brigitte,N,Z,0,7.0,,Die Linke
Lehrerin a. D.,WAHLKREIS,150,1953,w,1,Freitag,0,0,Dagmar,J,E,Märkischer Kreis II,5.0,,SPD
Rechtsanwalt,LAND,5,1965,m,4,Fricke,0,0,Otto,N,Z,0,5.0,,FDP
Dipl.-Ingenieur / Vertriebstrainer,LAND,3,1966,m,35,Friedhoff,0,0,Dietmar,N,Z,0,3.0,,AfD
MdB,WAHLKREIS,239,1957,m,3,Friedrich,0,Dr.,Hans-Peter,J,E,Hof,9.0,,CDU/CSU
wiss. Mitarbeiter,LAND,16,1985,m,35,Friesen,0,Dr.,Anton,N,Z,0,16.0,,AfD
MdB / Rechtsanwalt,WAHLKREIS,245,1964,m,3,Frieser,0,0,Michael,J,E,Nürnberg-Süd,9.0,,CDU/CSU
Pressesprecher,LAND,8,1991,m,35,Frohnmaier,0,0,Markus,N,Z,0,8.0,,AfD
Studiendirektor,LAND,11,1968,m,35,Frömming,0,Dr.,Götz,N,Z,0,11.0,,AfD
MdB / parl. Staatssekretär,WAHLKREIS,280,1952,m,2,Fuchtel,0,0,Hans-Joachim,J,E,Calw,8.0,,CDU/CSU
Apothekerin,LAND,5,1958,w,34,Gabelmann,0,0,Sylvia,N,Z,0,5.0,,Die Linke
MdB / Bundesminister,WAHLKREIS,49,1959,m,1,Gabriel,0,0,Sigmar Hartmut,J,E,Salzgitter – Wolfenbüttel,3.0,,SPD
Berufssoldat,WAHLKREIS,9,1960,m,2,Gädechens,0,0,Ingo,J,E,Ostholstein – Stormarn-Nord,1.0,,CDU/CSU
MdB,LAND,8,1970,m,5,Gastel,0,0,Matthias,J,Z,0,8.0,,Grüne
MdL,LAND,12,1941,m,35,Gauland,0,Dr.,Eberhardt Alexander,N,Z,0,12.0,,AfD
MdB,WAHLKREIS,211,1971,m,2,Gebhart,0,Dr.,Thomas,J,E,Südpfalz,7.0,,CDU/CSU
Dipl.-Sozialwissenschaftler,LAND,5,1977,m,5,Gehring,0,0,Kai Boris,J,Z,0,5.0,,Grüne
Arzt,LAND,1,1942,m,35,Gehrke,0,Dr.,Axel,N,Z,0,1.0,,AfD
MdAB / Rechtsanwalt,LAND,11,1976,m,5,Gelbhaar,0,0,Stefan,N,Z,0,11.0,,Grüne
MdB / Elektrohauer,WAHLKREIS,125,1960,m,1,Gerdes,0,0,Michael,J,E,Bottrop – Recklinghausen III,5.0,,SPD
