Bundesland,CDU/CSU,SPD,Grüne,Die Linke,FDP,AfD,Other
Neckar-Zaber,45.3,21.0,10.6,4.1,6.7,5.5,6.8
Heilbronn,45.8,22.1,8.5,4.7,6.4,5.4,7.1
Schwäbisch Hall – Hohenlohe,46.6,20.0,10.0,4.8,6.6,5.0,7.0
Backnang – Schwäbisch Gmünd,48.4,20.4,9.1,4.2,5.8,5.7,6.4
Aalen – Heidenheim,49.3,22.3,8.4,4.6,4.5,4.5,6.4
Karlsruhe-Stadt,37.5,22.7,15.0,6.0,6.0,5.6,7.2
Karlsruhe-Land,46.7,21.1,9.6,4.1,6.0,6.0,6.5
Rastatt,49.2,20.6,9.1,4.1,5.8,5.8,5.4
Heidelberg,37.5,23.4,14.8,5.7,7.0,6.1,5.5
Mannheim,35.1,27.5,11.1,7.5,5.5,6.0,7.3
Odenwald – Tauber,51.9,19.8,7.2,4.2,5.2,5.2,6.5
Rhein-Neckar,43.8,22.3,9.5,4.8,6.5,6.0,7.1
Bruchsal – Schwetzingen,46.6,21.6,8.2,4.4,5.7,6.1,7.4
Pforzheim,45.1,20.2,8.9,4.6,7.1,7.2,6.9
Calw,51.1,17.6,7.6,4.2,6.4,6.3,6.8
Freiburg,35.4,22.1,19.8,7.9,4.8,3.8,6.2
Lörrach – Müllheim,43.7,21.8,12.7,4.8,5.6,5.1,6.3
Emmendingen – Lahr,45.8,21.2,12.1,4.6,5.1,4.5,6.7
Offenburg,48.3,19.2,10.7,4.7,5.7,5.4,6.0
Rottweil – Tuttlingen,51.7,17.5,7.4,4.0,6.4,5.8,7.2
Schwarzwald-Baar,49.4,19.1,9.0,4.1,5.9,5.7,6.8
Konstanz,43.6,20.2,12.7,5.0,7.4,5.5,5.6
Waldshut,49.3,19.0,11.0,4.3,5.8,4.7,5.9
Reutlingen,46.2,19.3,10.9,4.8,7.1,5.6,6.1
Tübingen,41.7,20.5,14.8,6.6,5.5,4.6,6.3
Ulm,48.6,20.2,10.3,4.3,5.2,4.7,6.7
Biberach,56.3,14.8,9.1,3.4,4.9,4.2,7.3
Bodensee,48.7,18.2,11.8,4.4,6.4,4.5,6.0
Ravensburg,50.0,17.3,12.3,4.3,5.2,3.9,7.0
Zollernalb – Sigmaringen,52.8,17.1,8.4,4.1,5.6,4.7,7.3
Baden-Württemberg,45.7,20.6,11.0,4.8,6.2,5.2,6.5
Saarbrücken,33.4,31.1,7.8,11.7,4.5,4.7,6.8
Saarlouis,40.1,30.7,5.3,9.0,3.7,5.1,6.1
St. Wendel,40.9,30.4,4.5,9.0,3.4,5.4,6.4
Homburg,36.6,31.9,5.1,10.2,3.8,5.6,6.8
Saarland,37.8,31.0,5.7,10.0,3.8,5.2,6.5
Bundesgebiet,41.5,25.7,8.4,8.6,4.8,4.7,6.3
